,original,translated
406,claro si es que van a pagar hay cables,
407,internacionales que dicen que va a ser,
408,más a morales ya salió su jefe de,
409,campaña ha dicho quién va a ser,
410,presidente,
411,pongamos o sea el acuerdo porque él aquí,
412,debatimos del sábado y el enviar cambió,
413,cuatro veces de posición en la mañana,
414,estaba confirmado podrías debate del,
415,domingo en la noche después había,
416,rechazado después titulaba y una noche,
417,apareció,
418,y para quedar bien con camacho y su,
419,gente tuvieron que decir que una,
420,decisión de regalo para su presidente,
421,cambiado residentes asiste a un debate,
422,si usted y yo,
423,ah,
424,yo me conoce,
425,konerko morales jamás habrá acuerdo con,
426,bolivia,
427,[Aplausos],
428,no dejes que te diga que el margen de,
429,error después es porque no estamos,
430,después de delante caramba que la hora,
431,ya estaba a favor de tú te vas a contar,
432,toda clase de cuentos no van a saber de,
433,qué disfrazarse que un margen de error,
434,que había mucho indeciso y demás miedo,
435,la otra la última parte de la,
436,manipulación que seas es decir hay 30,
437,por ciento de indecisos y asignar una,
438,cuota parte de ese 30 por ciento de,
439,indecisos al movimiento al socialismo,
440,pero si una persona después de una,
441,relación matrimonial matrimonios a de 14,
442,años se divorcian puede estar indecisa,
443,la persona sobre si volver a casarse o,
444,con quién volverá a casarse pero no,
445,sobre retornar cuando la persona de la,
446,que se divorció después de 14 años sin,
447,embargo demuestra que esa proyección,
448,también es parte de,
449,y yo sé que encuestas que van a decir y,
450,con todo cariño al gobierno el de hacer,
451,5.000 encuestas de un día,
452,metodológicamente el evento,
453,hace 25 años estamos a hacer mil,
454,encuestas cada dos días durante diez,
455,días terrible para atender se está,
456,subiendo y está bajando particularmente,
457,cuando el rectorado es porque nosotros,
458,sí estamos trabajando de esa manera y si,
459,le vamos a mostrar eso al país entonces,
460,usted demuestra su manipulación yo,
461,demostraré con la verdad y finalmente te,
462,pido a ti que sabe lo que está pasando,
463,este sistema de manipulación que se ha,
464,visto de bellver éxito y se ha visto el,
465,corazón bien en otros lugares no es para,
466,robarme a mí,
467,yo quiero ser presidente de política,
468,para salvar la economía recuperada y que,
469,nunca más en mi patria,
470,[Aplausos],
471,empieza,
472,te quiere robar a ti te quiere encarnar,
473,a ti porque las consecuencias del tiempo,
474,que todos nosotros,
475,entonces eso es lo que quería mostrar,
476,compartir y pedir a la gente que si,
477,quieres votar por el miedo,
478,con la consigna utilitaria de para que,
479,no sea el más ahora que sea cualquier,
480,otro no te conformes con cualquiera,
481,buscar lo mejor busca el proyecto que te,
482,puede dar la respuesta que te salva la,
483,economía que te preserva el bolsillo que,
484,te cuida el empleo que te asegura que,
485,bolivia nunca pasó de ser un satélite de,
486,padrinos caribeños y esa cuadrilla,
487,criminal de venezolanos y cubanos,
488,si quieres transformador líneas de,
489,verdad salvando del colombiano aquí,
490,estamos,
491,si quieres conformarte con otro mayor,
492,conformarte con el de cualquier posible,
493,al werder más hay otras opciones porque,
494,te vas a conformar con cualquier otra,
495,cosita tú has visto los debates tú sabes,
496,lo que estaba pasando tú sabes que tiene,
497,dos propuestas sabes quién tiene la,
498,capacidad y yo estoy en esto porque,
499,estoy agradecido con mi padre,
500,soy un cochabambino que creció en santa,
501,cruz que vive en la paz,
502,y le doy mi vida a esta causa y bolivia,
503,me ha preparado para responder a,
504,dificultades económicas porque las super,
505,sortear en el pasado,
506,bolivia me ha ayudado a enfrentar a la,
507,tiranía venezolana igual entonces si,
508,quieres salvar la economía hoy aquí es,
509,pero si quieres recuperar la democracia,
510,hoy para siempre aquí estoy y estamos de,
511,pido que votes con fuerza con gente con,
512,ganas con fe o por miedo no utilitario o,
513,responsable,
514,[Aplausos],
515,0,
516,si hubiera si no hubiera sido por toda,
517,la manipulación ya estaba garantizado,
518,segundo que hace el acto porque si tú,
519,ves publicado todo el día que la ley de,
520,la gravedad no aplica podría mucha gente,
521,pero deben ser si publican una y otra,
522,vez que la ley de gravedad nuestra,
523,vigente política es porque está bien y,
524,te vas a estrellar y entiendo que tengo,
525,que conseguir,
526,estoy consciente de la novedad vino a mí,
527,de aquí porque la constitución dice que,
528,el voto es individual libre e informado,
529,no tendré baño digital manipulado están,
530,buscando hacer ahora entonces por eso,
531,estoy aquí por eso siga hablando y nada,
532,más de muestra basta un botón,
533,todos saben que ha pasado prestado del,
534,domingo en los debates y por eso no,
535,querían puestos estábamos terminando,
536,porque todos los conocemos y todos,
537,sabemos quién podrá probar la economía y,
538,gente y que puede dar respuestas firmes,
539,para rescatar la democracia y 15 marco,
540,real y asusta no por eso yo le pido a la,
541,gente que no nos dejemos utilizar un,
542,manipular cómo se van tenemos que votar,
543,consciente y responsable para salvar,
544,bolivia himno que nos deben de un lugar,
545,a otro eso ha sido parte del sistema de,
546,manipulación e inducción y el voto que,
547,estudió y fíjense la contradicción,
548,promos grandes grupos de amigos juntas,
549,de vecinos gremios,
550,casi todos queremos votar por ti muchos,
551,queremos votar por ti pero veo los,
552,medios y dice que nadie quiere votar por,
553,ti turinés esa contradicción entonces te,
554,están diciendo pienses apaga tu cerebro,
555,para morgan y que vamos a llevar para,
556,allá y aunque a la gente decir la verdad,
557,lo que viene es durísimo en la parte,
558,económica yo lo hizo la verdad es tener,
559,a morir yo diría ustedes ven a varios,
560,copiando las propuestas pueden copiar,
561,copy-paste es fácil hacer lo que yo les,
562,propuesta donde no puede copiar ni,
563,replicar en la capacidad de experiencia,
564,de equipo y las mesas,
565,[Aplausos],
566,pero la realidad es bien sencilla quién,
567,puede salvarle con bien y garantizar el,
568,más no por la más esto tuvieron quien,
569,puede después de seis años escribir el,
570,mejor libro,
571,[Aplausos],
572,cómo analiza a una semana,
573,cada uno vive todas sus decisiones la,
574,presidenta antes yo lo dije con mucha,
575,pena que fue un error garrafal histórico,
576,ella tenía cabeza historias morales se,
577,lo dije,
578,este año,
579,y le dije que era un error y va a,
580,generar ingobernabilidad y hacer muy,
581,difícil del tratamiento de la,
582,del quehacer institucional dicho y hecho,
583,casi pasó que iba a ser víctima de san,
584,judas persecuciones dicho y hecho más,
585,invasor ella había sido desechada por un,
586,proyecto no estado ni siquiera el,
587,parlamento quisieron usar la gente para,
588,acomodarse para salvar siglos,
589,normalmente que ella responda a los,
590,desafíos históricos haciendo historial,
591,sin colecciones manejando la transición,
592,y atendiendo el coronavirus es un error,
593,el que hubiera buscaba hacer campaña yo,
594,le dije en europa misma posición que,
595,sostengo ahora que sus estudiantes y,
596,ustedes recuerdan que generosa con,
597,vídeos un documento fijando mi posición,
598,sobre esto porque a diferencia de autos,
599,bolivianos yo como siempre puse la cara,
600,en la vela y el mercosur y señal de club,
601,o sucesión constitucional y no sólo,
602,porque conocen tirano prófugo evo,
603,morales por eso tenía que dejar claro de,
604,que como muchos publicanos yo también,
605,fui ganar o si se quiere me dijeron una,
606,versión propia porque fui a decir el,
607,único objetivo la única visión de la,
608,transición,
609,y por eso puede proponer vuelvo a decir,
610,a la reelección presidencial inmediata,
611,es veneno para la democracia la perdimos,
612,18 años del 64 la perdí mis 14 años,
613,neutrales y se empañó la transición por,
614,la reelección presidencial inmediata voy,
615,a cambiar la constitución para eliminar,
616,nunca más varones y perros y luego voy a,
617,hacer por convicción y lo voy a hacer,
618,porque la semana pasada lunes martes y,
619,miércoles y exento al tirano de honor,
620,antes en la corte de san josé pues de,
621,serviberia peregrinar por todo el mundo,
622,tardé siete años pero si lleva lágrima,
623,ni el no me canso y no ve ring y me fui,
624,a la cdh estaba insulsa me peleé con,
625,insulsamente de con almagro con narrado,
626,con el ebook que brasil no ayudó,
627,finalmente colombia elevó la opinión,
628,consultiva ante la corte de san josé,
629,ramón mestre si un mil cuatro veces,
630,haber un residente duque en gracia el,
631,presidente duque le llevamos las firmas,
632,de las valerosas plataforma,
633,de gracia que llevo aquí también para,
634,recoger gracia y cuestionando camacho,
635,siempre hay que reconocer a los de,
636,trabajar para recolectar las firmas y,
637,colombia vio que éste no era un capricho,
638,el título que era una aspiración,
639,societaria bolivia dijo no queremos que,
640,se respete nuestro voto y los el vamos a,
641,corporales en la corte de san josé 5 un,
642,ciudadano docente ante la corte de san,
643,josé para que se ratifique por siempre y,
644,para siempre el bolivia dijo no deporte,
645,el presidente y miles de artículos que,
646,evo morales resto por su corrupción su,
647,narcotráfico su exterminio porque 'no lo,
648,exigen y su depravada vergonzosa,
649,inmoralidad ante la justicia nacional e,
650,internacional conmigo que esa betis,
651,historia el presidente no va a estar,
652,agazapado la frontera esperando que pasa,
653,para estar en un escondido según,
654,garantizó el saben y yo no sé también,
655,porque él es cobarde y yo sé que eso va,
656,río ha prestado su justicia su,
657,persecución 14 años por los días el,
658,bando 24 escobar haber tirado y por eso,
659,ahora,
660,de la hoya y de lo que dijo el cobarde,
661,dijo,
662,si ganamos vuelvo a la liga no hay que,
663,condicionar de que vamos de estar aquí,
664,entrenando por la parte solamente si,
665,tengo impunidad no lloro enfrentado,
666,todos los días hace 7 años que me tiene,
667,corretearon inicial dicho sea de paso,
668,presidenta ni ustedes gobierno de,
669,transición porque usted mantiene las,
670,acusaciones de la pantalla del banquillo,
671,contrato tuyo gas del cajero de test,
672,para autorizar se han visto las máquinas,
673,también él y su esposa levantó lyon se,
674,sacaron plata de los empleados el de,
675,sentencia por difamación cuando denuncie,
676,la corrupción de arce del bandoneón,
677,nivel nacional y si no ha iniciado y si,
678,bien viciado bubble bando actual como el,
679,señor marco isla ministro de señora ya,
680,mí me presidenta por pero sigue haciendo,
681,y porque seguimos con yacimientos y,
682,lejía y enjuiciando y persiguiendo a,
683,otro cultivo alternativo y así no voy a,
684,llorar pero nada más preguntó por qué,
685,mantener vigentes esa patán y amorales,
686,el tirano prófugo y siga hablando y,
687,cuando vuelves a responder ante la,
688,justicia,
689,evo morales deja de hacernos pasar,
690,vergüenza porque en otras partes del,
691,mundo tiene miedo de invitarme por favor,
692,que te vayas a la quinceañera,
693,luego,
694,bien,
695,Senador Estadounidense Bernie Sanders: Le tengo un gran respeto como líder electo,
696,"con millones de partidarios en su país, pero no puedo quedarme callado mientras usted defiende,",
697,ayuda e incita a un tirano como Evo Morales de manera incondicional y repetida.,
698,"Nuestra Constitución Boliviana limita a los presidentes a una reelección y dos mandatos,",
699,"al igual que en Estados Unidos. Pero Evo forzó
un fallo en 2013, de sus jueces dóciles,",
700,"para permitirse un tercer mandato. En 2016
llamó a referéndum para conseguir uno adicional,",
701,"el pueblo Boliviano votó NO. Luego presionó
por otro fallo, estableciendo que la reelección",
702,"indefinida era un ""derecho humano"" de la OEA,
y se postuló para un CUARTO mandato.",
703,"En las elecciones del año pasado, Evo y su
gente falsificaron firmas, alteraron las actas,",
704,"los muertos votaron y cuando eso no fue suficiente
... detuvo el conteo rápido y montó servidores",
705,ocultos para modificar más actas.,
706,"Los jóvenes aca, como los jóvenes que se
presentan en sus mítines en Estados Unidos,",
707,"salieron en masa para defender nuestra democracia
en las calles de Bolivia.",
708,"La auditoría irrefutable de la OEA, que Evo
había pedido y aceptado como VINCULANTE,",
709,"demostró que la elección fue amañada. El
10 de Noviembre anuló el fraude y convocó",
710,"a nuevas elecciones con un nuevo Tribunal
Electoral. Luego huyó a México.",
711,"Catorce días después, los representantes
en el Congreso de Evo, con más de 2/3 del",
712,"Parlamento actual, aprobaron UNÁNIMAMENTE
la ley que hizo exactamente lo que pidió,",
713,"y ratificó la validez constitucional de solo
dos mandatos presidenciales.",
714,"Es muy claro: fue un fraude, no un golpe.
De hecho es Evo Morales quien perpetró un",
715,"golpe de Estado en cámara lenta a lo largo
de los años, siguiendo el manual diseñado",
716,por su amigo Maduro en Venezuela.,
717,"El dinero del petróleo chavista ha financiado
a académicos y ""pensantes"" en su país para",
718,"defender la completa aniquilación de Venezuela, donde nunca tan pocos, con tanto poder, durante",
719,"tanto tiempo, han destruido completamente la democracia",
720,y exterminado la economía de un país tan rico.,
721,"Estos mismos ""académicos"" sugieren que, ""estadísticamente"",",
722,Evo podría haber ganado las elecciones Bolivianas del año pasado sin fraude.,
723,"Señor, con el debido respeto, una moneda
lanzada cinco veces puede caer cinco veces seguidas en ""cruz"";",
724,esto puede suceder estadísticamente una vez cada 32 veces que se repite este ejercicio.,
725,"Pero si la moneda está amañada y tiene ""cruz"" en ambos lados,",
726,"será ""cruz"" cada vez, si la lanza una o mil veces.",
727,"En mis días como ingeniero de sistemas de IBM, aprendí un hecho simple: basura entra, basura sale.",
728,"La basura, disfrazada de análisis académico para defender el fraude, sigue siendo basura,",
729,incluso si se publica en medios de comunicación respetados.,
730,"Hay muchas críticas bien fundadas sobre el
gobierno de transición en mi país,",
731,"he expresado muchas,",
732,"pero no se deben utilizar para defender
a Evo Morales, un autócrata despiadado",
733,"que amordazó a la prensa libre, criminalizó
a la oposición, cerro instituciones, protegió",
734,"la cocaína, violó la Constitución, desautorizó
los resultados de un referéndum vinculante",
735,"y cometió un fraude electoral masivo. Desde un punto de vista moral,",
736,"la depravación personal del expresidente es indefendible,",
737,"muchos preguntan: si aparecerá, en Netflix,",
738,"en una nueva temporada de las series televisivas de ""Narcos"" o ""Jeffrey Epstein"".",
739,"Cuando los Bolivianos huían al exilio, de
la persecución de Evo, el repetia una frase:",
740,"""el que se escapa es un delicuente confeso"".
Lo hizo, lo es.",
741,"Estoy seguro de que si un presidente de EE.UU. Buscara un cuarto mandato consecutivo,",
742,"mientras manipula el sistema de votación
por correo, usted también, señor,",
743,"Senador Sanders estaria en las calles de EE. UU.,",
744,"""Pitita"" a mano, gritando ""nadie se cansa, nadie se rinde"".",
745,""", marchando por elecciones libres y justas,
por el respeto de la Constitución, por la",
746,democracia y contra el fraude.,
747,"Lamento que sigas entrometiéndote en los
asuntos Bolivianos una y otra vez,",
748,"mientras abrazas a los tiranos latinoamericanos. No
quiero entrometerme,",
749,"pero está claro que tiene la intención de golpear a Almagro, a la OEA y a mi país,",
750,"para intentar sumar puntos contra sus oponentes Republicanos y reavivar su juventud,",
751,"pero eterno, enamoramiento de Castro. Bueno, no podrá intimidar a Bolivia,",
752,"pero puede entregar Florida a sus oponentes, nuevamente. Explíquele eso a su partido politico.",
753,"Bendiciones para usted y su maravillosa familia,
de todos los Bolivianos que viven en libertad.",
